iter	CrossEntropy
0	0.6450894953
1	0.6102899405
2	0.5714276073
3	0.5352089431
4	0.5072275937
5	0.4855240204
6	0.4657054524
7	0.4410786052
8	0.4207710015
9	0.4012654063
10	0.3857517871
11	0.3733396006
12	0.3627450126
13	0.3482219989
14	0.3402899019
15	0.3293197338
16	0.3214672634
17	0.3131398631
18	0.3048438816
19	0.2987558554
20	0.2930762742
21	0.284703894
22	0.2774825463
23	0.2715125451
24	0.2669154995
25	0.2628630334
26	0.2599119878
27	0.255821752
28	0.2503198058
29	0.2465590802
30	0.2444928767
31	0.2388529935
32	0.2357653104
33	0.2328494984
34	0.2294672872
35	0.2269348522
36	0.2248432034
37	0.2197402912
38	0.2167706332
39	0.2148264371
40	0.2127728934
41	0.2088832646
42	0.2061236036
43	0.2038295033
44	0.2009986626
45	0.1997685275
46	0.1963642456
47	0.1943498968
48	0.190714113
49	0.1883764162
