iter	Passed	Remaining
0	149	7306
1	150	3611
2	151	2369
3	152	1749
4	153	1377
5	153	1128
6	154	951
7	156	823
8	158	721
9	159	636
10	160	567
11	170	538
12	170	486
13	171	441
14	172	403
15	173	368
16	176	342
17	178	316
18	180	294
19	181	271
20	181	251
21	182	232
22	183	215
23	184	200
24	187	187
25	189	174
26	191	162
27	192	150
28	192	139
29	193	129
30	194	119
31	195	109
32	196	100
33	197	93
34	199	85
35	200	77
36	201	70
37	202	63
38	202	57
39	203	50
40	204	44
41	206	39
42	208	34
43	211	28
44	211	23
45	212	18
46	213	13
47	214	8
48	215	4
49	216	0
